電子類,電子類,金融股,非金電,非金電,非金電,TestField
TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
2330,6189,2882,6505,1608,9926,2330
2317,5285,2881,1301,2701,2706,2317
2412,2485,2891,1303,2114,2536,
3008,2316,2886,1326,2614,4104,
2454,6672,2884,1216,4190,9905,
3045,5243,2892,2002,9935,3708,
2308,3501,5880,2207,9942,6177,
3711,2480,2880,2912,1442,6666,
2408,3059,2885,1101,2012,1231,
2382,4961,5876,5871,2527,1225,
4904,8110,2801,1102,1730,2617,
2395,4942,2887,1402,2102,1256,
2474,6668,2890,9910,5607,4426,
2303,6183,2883,2105,2727,4763,
2357,3645,2888,1476,4764,1609,
4938,8105,2823,9904,2612,2107,
2327,2420,2834,2633,4164,1527,
3034,2466,2812,2049,5525,9927,
2379,8215,2845,1590,2538,1583,
6669,6558,2809,2227,1708,2010,
2301,5471,2889,8464,8427,8996,
4958,3062,2838,9921,1338,2910,
2492,6533,2867,1227,4737,4564,
6415,6224,6005,2618,8480,3056,
2409,3130,2849,1434,2731,6184,
2345,2314,2820,2603,1603,2535,
2354,2472,2855,1504,3266,1203,
3481,2402,2897,2542,8499,4306,
6239,2419,2850,9914,2712,6582,
2356,4912,2851,1605,2013,1109,
2324,2477,2836,1722,1521,1760,
2377,6698,2832,2371,1446,8473,
3231,3583,6024,2923,2348,1737,
2337,3028,2816,2610,1437,4739,
2344,2459,2852,8454,4540,1701,
3702,3712,,9945,5533,1720,
2360,6251,,1229,1455,1709,
2385,6209,,2101,2509,2029,
2347,8271,,9917,2530,1447,
6409,2436,,2915,4755,1589,
3406,2476,,2615,1598,9918,
3044,2369,,2027,8466,9934,
3037,2363,,2903,4552,2601,
2353,2374,,1210,1514,8463,
6176,3015,,9941,5907,2841,
2313,6112,,1477,1460,5538,
5269,3679,,1717,1535,1219,
3532,2426,,5522,6288,2911,
6213,3257,,2634,3004,1449,
2449,2405,,2015,2062,1467,
2352,6108,,1536,4572,1443,
2448,6128,,1802,4526,1727,
2383,3048,,2104,2939,2516,
2404,2414,,8341,4746,1438,
2451,2423,,9933,2233,2038,
6269,6197,,1723,1457,1526,
6456,3055,,2201,2546,1539,
2059,2495,,1314,1451,9929,
3533,2467,,2231,2616,1474,
2376,2359,,1707,2506,8488,
3443,3029,,2606,1626,4720,
3706,6283,,2106,8481,8222,
2439,3209,,1319,5521,1472,
3023,3416,,1507,1734,2032,
3665,4952,,6670,1786,2611,
6278,3605,,2548,1525,2358,
3005,4989,,5534,2540,1776,
2456,8104,,2501,1436,2024,
8046,5215,,9938,1339,2496,
2498,2493,,1503,1473,4807,
6285,6201,,2006,8478,1432,
3376,4999,,9802,2528,1435,
2441,3041,,1736,2109,1456,
2458,2462,,9940,9931,1454,
3653,8021,,1904,1233,1587,
6271,2425,,1907,1533,8033,
3019,2484,,6452,2020,9902,
4915,3622,,2204,2115,1445,
6116,2457,,1789,1217,1616,
2362,5225,,2504,2030,2236,
6412,4976,,1232,1309,1413,
3036,3518,,2707,4560,1466,
6214,6449,,2637,1612,1732,
8150,3031,,8926,4571,1441,
2373,3032,,2103,1108,1453,
3189,2342,,1409,4555,8940,
2312,6443,,2905,5519,8443,
2392,3305,,2723,6655,1324,
5434,2430,,1808,4725,1805,
3576,8249,,2608,8442,2033,
3673,3701,,9939,2009,2243,
6414,2442,,2511,9919,2443,
2455,2461,,1710,2537,5906,
8016,2488,,4766,3167,1516,
5469,3038,,2023,2748,,
2367,6442,,2206,2028,,
4943,4916,,9907,1323,,
5388,3437,,8422,4566,,
4935,3528,,1215,8467,,
6230,4967,,1440,1341,,
5264,5258,,8482,1530,,
2393,6168,,1909,1810,,
3596,6141,,9908,1762,,
3563,3054,,4137,3052,,
8131,3356,,1103,4108,,
3026,2499,,8404,1439,,
2388,6216,,1312,9944,,
6196,3024,,1304,2722,,
6202,6136,,2108,4557,,
3413,2483,,4438,1806,,
6451,6477,,5007,2636,,
6257,6155,,2607,1531,,
3661,8261,,1702,1541,,
8210,3013,,9958,1713,,
6153,3694,,9925,2069,,
3042,2390,,2520,4722,,
3010,6235,,4551,2642,,
3030,8103,,6464,1725,,
3016,2427,,2609,2705,,
5305,2444,,9937,2739,,
8112,6142,,2539,1733,,
3035,8011,,1773,1417,,
2355,6674,,1313,1817,,
3017,2399,,2505,8411,,
6282,3419,,2014,1459,,
4919,2417,,1234,2008,,
2351,2365,,6504,1721,,
2428,3607,,1537,4148,,
2421,2413,,9930,2497,,
1582,6205,,1718,1452,,
3515,3047,,1419,2022,,
8163,3312,,1104,1416,,
6579,4545,,2524,1316,,
2328,3669,,2545,2906,,
8070,2453,,1515,4155,,
6206,2460,,3705,6641,,
6166,3018,,8462,1235,,
3049,3060,,4536,4144,,
4927,2486,,2208,5706,,
